dataset,noise_std,count_fake,count_real,mean_similarity_fake,mean_similarity_real,std_similarity_fake,std_similarity_real,gap_mean_real_minus_fake,se_gap,welch_t,welch_df,cohens_d
Midjourney,0.05,6000,6000,0.9212513744632403,0.9306232429643472,0.0316022972572162,0.0309345789195604,0.009371868501106828,0.0005709135026230573,16.415566382731985,11992.532533627736,0.29970586673485977
Midjourney,0.1,6000,6000,0.8771028050283591,0.8785842404663563,0.0447786041616876,0.0482277328121615,0.0014814354379971695,0.0008496114408824724,1.743662298683779,11932.537473054852,0.03183477245534721
VQDM,0.03,6000,6000,0.9501335191130638,0.9533819557825725,0.0279113414991001,0.0230320937608785,0.003248436669508692,0.0004671759710018781,6.953347070788521,11580.751811896982,0.12695016802777814
VQDM,0.05,6000,6000,0.9256881269117196,0.9302355253994464,0.0359485171214872,0.0302815720802237,0.004547398487726784,0.0006068044016105522,7.494010385648636,11661.43926609727,0.1368212844799249
VQDM,0.1,6000,6000,0.8684668217003345,0.8779248206019401,0.049267879342449,0.0484620267030147,0.009457998901605591,0.0008921782302382022,10.601019595692673,11994.738269946058,0.19354725217050578
biggan,0.03,2000,2000,0.9515614562034608,0.947427172869444,0.0224949187868248,0.0278687809501658,-0.004134283334016775,0.0008008402845992975,-5.162431777623892,3827.5918797704185,-0.16325042682523372
biggan,0.05,2000,2000,0.9312970605790616,0.9240096588432788,0.0286494229244724,0.0345717845759251,-0.007287401735782795,0.001003991464771852,-7.258429968265508,3864.6937736742766,-0.22953170936542694
biggan,0.1,2000,2000,0.8922120955288411,0.8696312255263329,0.039355023410202,0.0523885279394616,-0.02258087000250819,0.00146515796542238,-15.411901334473866,3710.210917263394,-0.4873671129072593
cyclegan,0.03,1321,1321,0.9536620523783405,0.9447313247531944,0.0233025104042871,0.0305658227582053,-0.008930727625146018,0.0010574978366456199,-8.44514978250382,2466.949376245136,-0.3286025623457665
cyclegan,0.05,1321,1321,0.9338578680624662,0.9257910611230618,0.0293075882506577,0.035019170686333,-0.008066806939404425,0.0012564073616714588,-6.420534601669928,2560.513072153788,-0.24982435789467772
cyclegan,0.1,1321,1321,0.880852540454388,0.8771292661104484,0.0382271445949427,0.046266396476615,-0.0037232743439395977,0.0016512546618326516,-2.2548153413279732,2549.3342590597235,-0.08773534133307494
gaugan,0.03,5000,5000,0.9392869109392166,0.9493323024749756,0.0259895772984622,0.0219137170741626,0.010045391535759007,0.0004807637931789762,20.894650716800886,9720.544772867115,0.41789301433601767
gaugan,0.05,5000,5000,0.9108752443671226,0.923278184568882,0.0327398605537066,0.0295726745711513,0.01240294020175936,0.000623929731679357,19.878745268919705,9896.261251218113,0.39757490537839413
gaugan,0.1,5000,5000,0.8584981822609902,0.8681893316388131,0.040135957635044,0.0445093846920509,0.009691149377822894,0.0008475824940319404,11.433871565376728,9892.923251685032,0.22867743130753454
progan,0.03,4000,4000,0.9272967848926784,0.9479311084896326,0.027015808109051,0.0225637800946327,0.020634323596954163,0.0005565469566766151,37.07562021391819,7751.95990086771,0.8290360710628637
