dataset,parameter,noise_std,image_type,count,mean_similarity,std_similarity,source_csv
stable_diffusion_v_1_5,Noise STD,0.05,Real,8000,0.9309872680529953,0.0298671700206152,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.05.csv
stable_diffusion_v_1_5,Noise STD,0.1,Fake,8000,0.900904799632728,0.0405589837328112,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.1.csv
stable_diffusion_v_1_5,Noise STD,0.1,Real,8000,0.8787838427498936,0.048487310406702,stable_diffusion_v_1_5/noise_cosine_similarity_stable_diffusion_v_1_5_0.1.csv
stargan,Noise STD,0.03,Fake,1999,0.9410971799392948,0.0189144606814979,stargan/noise_cosine_similarity_stargan_0.03.csv
stargan,Noise STD,0.03,Real,1999,0.9313730254001532,0.0207710790358965,stargan/noise_cosine_similarity_stargan_0.03.csv
stargan,Noise STD,0.05,Fake,1999,0.924909183566364,0.0228913333521027,stargan/noise_cosine_similarity_stargan_0.05.csv
stargan,Noise STD,0.05,Real,1999,0.9128420036276798,0.0253605228079678,stargan/noise_cosine_similarity_stargan_0.05.csv
stargan,Noise STD,0.1,Fake,1999,0.8900213084440342,0.0295635352345244,stargan/noise_cosine_similarity_stargan_0.1.csv
stargan,Noise STD,0.1,Real,1999,0.8695955083273601,0.0352858539194236,stargan/noise_cosine_similarity_stargan_0.1.csv
stylegan,Noise STD,0.03,Fake,5991,0.9364933494215436,0.0237750233182697,stylegan/noise_cosine_similarity_stylegan_0.03.csv
stylegan,Noise STD,0.03,Real,5991,0.934378849705916,0.0311762313810004,stylegan/noise_cosine_similarity_stylegan_0.03.csv
stylegan,Noise STD,0.05,Fake,5991,0.9139796021664766,0.0295520850943639,stylegan/noise_cosine_similarity_stylegan_0.05.csv
stylegan,Noise STD,0.05,Real,5991,0.9107925958534728,0.0385832171582998,stylegan/noise_cosine_similarity_stylegan_0.05.csv
stylegan,Noise STD,0.1,Fake,5991,0.8590478479832366,0.0412498845392366,stylegan/noise_cosine_similarity_stylegan_0.1.csv
stylegan,Noise STD,0.1,Real,5991,0.8508504135066252,0.055360269234063,stylegan/noise_cosine_similarity_stylegan_0.1.csv
stylegan2,Noise STD,0.03,Fake,7988,0.933745552531528,0.025284056253877,stylegan2/noise_cosine_similarity_stylegan2_0.03.csv
stylegan2,Noise STD,0.03,Real,7988,0.9436620321492284,0.0238208959032448,stylegan2/noise_cosine_similarity_stylegan2_0.03.csv
stylegan2,Noise STD,0.05,Fake,7988,0.9121231202355132,0.0290962542492632,stylegan2/noise_cosine_similarity_stylegan2_0.05.csv
stylegan2,Noise STD,0.05,Real,7988,0.9242690165504314,0.0288024557242799,stylegan2/noise_cosine_similarity_stylegan2_0.05.csv
stylegan2,Noise STD,0.1,Fake,7988,0.8564348284772592,0.0369856423548144,stylegan2/noise_cosine_similarity_stylegan2_0.1.csv
